Product Name,Price,Image Link,Product Link
"HP Victus, 12th Gen Intel Core i5-12450H, RTX 3050, 16GB DDR4,512GB SSD (Win11, Office21, Blue,2.3kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm), Flicker-free Gaming Laptop, Enhanced Cooling,fa1379TX/fa1412tx","₹69,500",https://m.media-amazon.com/images/I/71M6Hk2ZDbL._AC_UY218_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyODQ1MzUzNjk2NDIzODU5OjE3NDA2NDU4NTk6c3BfbXRmOjMwMDQ2MTQ2NDcwNTczMjo6MDo6&url=%2FHP-i5-12450H-15-6-inch-Backlit-fa1379TX%2Fdp%2FB0D81CP85D%2Fref%3Dsr_1_11_sspa%3Fcrid%3DEUT1RL0DC79L%26dib%3DeyJ2IjoiMSJ9.ZDxNcAU3ERfOWt_z5YwhVaD3MvyKCErH4hh7ecM7e_OEhiglkVnidonj5hhyCJlKIKWrC3EMTaYDtqpE3oXyftDrii79Boe-Vd-6Ea1TC5kvjKLcU0az9aYlzja96Syc_g1eDKLsaNhKfmBEt-uXRND3vGAhFuTP9lD8lYhozYOhXg9q473FUj4hwdCLNILOnmztw2nPXfg8vVw-qlOcgb6RW3UgoROIHjPKR0qzN0Y.iHmN0ngeQkEdpbMeYmaYJhySkUnx83Qe3dwW8sgtsK4%26dib_tag%3Dse%26keywords%3Ddell%2Blaptop%26nsdOptOutParam%3Dtrue%26qid%3D1740645858%26sprefix%3D%252Caps%252C200%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office 21/1Yr Warranty/Cloud Grey/1.3Kg), 82V6009LIN","₹24,490",https://m.media-amazon.com/images/I/712vCLbaXGL._AC_UY218_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyODQ1MzUzNjk2NDIzODU5OjE3NDA2NDU4NTk6c3BfbXRmOjMwMDI0MDY1MTQwMjAzMjo6MDo6&url=%2FLenovo-IdeaPad-Celeron-Warranty-82V6009LIN%2Fdp%2FB0D6Z2H2HR%2Fref%3Dsr_1_12_sspa%3Fcrid%3DEUT1RL0DC79L%26dib%3DeyJ2IjoiMSJ9.ZDxNcAU3ERfOWt_z5YwhVaD3MvyKCErH4hh7ecM7e_OEhiglkVnidonj5hhyCJlKIKWrC3EMTaYDtqpE3oXyftDrii79Boe-Vd-6Ea1TC5kvjKLcU0az9aYlzja96Syc_g1eDKLsaNhKfmBEt-uXRND3vGAhFuTP9lD8lYhozYOhXg9q473FUj4hwdCLNILOnmztw2nPXfg8vVw-qlOcgb6RW3UgoROIHjPKR0qzN0Y.iHmN0ngeQkEdpbMeYmaYJhySkUnx83Qe3dwW8sgtsK4%26dib_tag%3Dse%26keywords%3Ddell%2Blaptop%26nsdOptOutParam%3Dtrue%26qid%3D1740645858%26sprefix%3D%252Caps%252C200%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Dell Inspiron 5630 13th Gen Laptop, Intel Core i5-1340P Processor/16Gb LPDDR5/512GB /16.0"" (40.64cm) FHD+ WVA AG 250 nits/Backlit KB + FPR/Windows 11+ MSO'21/McAfee 15 Months/Platinum Silver/1.85kg","₹64,490",https://m.media-amazon.com/images/I/6176GJwmjFL._AC_UY218_.jpg,https://www.amazon.in/Dell-Inspiron-i5-1340P-Processor-Platinum/dp/B0DRYNSN7G/ref=sr_1_13?crid=EUT1RL0DC79L&dib=eyJ2IjoiMSJ9.ZDxNcAU3ERfOWt_z5YwhVaD3MvyKCErH4hh7ecM7e_OEhiglkVnidonj5hhyCJlKIKWrC3EMTaYDtqpE3oXyftDrii79Boe-Vd-6Ea1TC5kvjKLcU0az9aYlzja96Syc_g1eDKLsaNhKfmBEt-uXRND3vGAhFuTP9lD8lYhozYOhXg9q473FUj4hwdCLNILOnmztw2nPXfg8vVw-qlOcgb6RW3UgoROIHjPKR0qzN0Y.iHmN0ngeQkEdpbMeYmaYJhySkUnx83Qe3dwW8sgtsK4&dib_tag=se&keywords=dell+laptop&nsdOptOutParam=true&qid=1740645858&sprefix=%2Caps%2C200&sr=8-13
"Dell 15 Thin & Light Laptop, Windows 11 Home, Intel Core i5-1235U Processor, 8GB RAM + 512GB SSD, 15.6"" FHD Window 11 + Mso '21, 15 Month Mcafee, Spill-Resistant Keyboard, Black, 1.66Kg","₹46,490",https://m.media-amazon.com/images/I/61fX7JMM3-L._AC_UY218_.jpg,https://www.amazon.in/Dell-i5-1235U-Processor-Antivirus-Spill-Resistant/dp/B0CSG4G18G/ref=sr_1_14?crid=EUT1RL0DC79L&dib=eyJ2IjoiMSJ9.ZDxNcAU3ERfOWt_z5YwhVaD3MvyKCErH4hh7ecM7e_OEhiglkVnidonj5hhyCJlKIKWrC3EMTaYDtqpE3oXyftDrii79Boe-Vd-6Ea1TC5kvjKLcU0az9aYlzja96Syc_g1eDKLsaNhKfmBEt-uXRND3vGAhFuTP9lD8lYhozYOhXg9q473FUj4hwdCLNILOnmztw2nPXfg8vVw-qlOcgb6RW3UgoROIHjPKR0qzN0Y.iHmN0ngeQkEdpbMeYmaYJhySkUnx83Qe3dwW8sgtsK4&dib_tag=se&keywords=dell+laptop&nsdOptOutParam=true&qid=1740645858&sprefix=%2Caps%2C200&sr=8-14
"Dell Inspiron 15 3535 Laptop - 15.6 inch FHD (39.62cm) Display, AMD Ryzen 5 7520U, 8 GB RAM, 512 GB SSD, Carbon Black, 1.67Kg, Ideal for Students, Perfect for Learning and Productivity","₹39,490",https://m.media-amazon.com/images/I/71I7xDIyINL._AC_UY218_.jpg,https://www.amazon.in/Dell-Inspiron-3535-Laptop-Productivity/dp/B0D83G8R99/ref=sr_1_15?crid=EUT1RL0DC79L&dib=eyJ2IjoiMSJ9.ZDxNcAU3ERfOWt_z5YwhVaD3MvyKCErH4hh7ecM7e_OEhiglkVnidonj5hhyCJlKIKWrC3EMTaYDtqpE3oXyftDrii79Boe-Vd-6Ea1TC5kvjKLcU0az9aYlzja96Syc_g1eDKLsaNhKfmBEt-uXRND3vGAhFuTP9lD8lYhozYOhXg9q473FUj4hwdCLNILOnmztw2nPXfg8vVw-qlOcgb6RW3UgoROIHjPKR0qzN0Y.iHmN0ngeQkEdpbMeYmaYJhySkUnx83Qe3dwW8sgtsK4&dib_tag=se&keywords=dell+laptop&nsdOptOutParam=true&qid=1740645858&sprefix=%2Caps%2C200&sr=8-15
(Refurbished) Dell Latitude 3490 8th Gen Intel Core i3 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Intel Graphics),"₹14,999",https://m.media-amazon.com/images/I/51ZhT9rgQyL._AC_UY218_.jpg,https://www.amazon.in/Refurbished-Dell-Latitude-Bluetooth-Graphics/dp/B0DVLRK4LF/ref=sr_1_16?crid=EUT1RL0DC79L&dib=eyJ2IjoiMSJ9.ZDxNcAU3ERfOWt_z5YwhVaD3MvyKCErH4hh7ecM7e_OEhiglkVnidonj5hhyCJlKIKWrC3EMTaYDtqpE3oXyftDrii79Boe-Vd-6Ea1TC5kvjKLcU0az9aYlzja96Syc_g1eDKLsaNhKfmBEt-uXRND3vGAhFuTP9lD8lYhozYOhXg9q473FUj4hwdCLNILOnmztw2nPXfg8vVw-qlOcgb6RW3UgoROIHjPKR0qzN0Y.iHmN0ngeQkEdpbMeYmaYJhySkUnx83Qe3dwW8sgtsK4&dib_tag=se&keywords=dell+laptop&nsdOptOutParam=true&qid=1740645858&sprefix=%2Caps%2C200&sr=8-16
"(Refurbished) Dell Latitude 5410 Intel Core i7 10th Gen 14"" (35.6 cm) FHD Touchscreen Laptop (16 GB DDR4 RAM/256 GB SSD/Intel UHD Graphics)/Wi-Fi/Windows 11/Thin & Light Laptop/MS Office","₹29,999",https://m.media-amazon.com/images/I/61npLUhCEuL._AC_UY218_.jpg,https://www.amazon.in/Refurbished-Dell-Latitude-Touchscreen-Graphics/dp/B0DWDMWJ9N/ref=sr_1_17?crid=EUT1RL0DC79L&dib=eyJ2IjoiMSJ9.ZDxNcAU3ERfOWt_z5YwhVaD3MvyKCErH4hh7ecM7e_OEhiglkVnidonj5hhyCJlKIKWrC3EMTaYDtqpE3oXyftDrii79Boe-Vd-6Ea1TC5kvjKLcU0az9aYlzja96Syc_g1eDKLsaNhKfmBEt-uXRND3vGAhFuTP9lD8lYhozYOhXg9q473FUj4hwdCLNILOnmztw2nPXfg8vVw-qlOcgb6RW3UgoROIHjPKR0qzN0Y.iHmN0ngeQkEdpbMeYmaYJhySkUnx83Qe3dwW8sgtsK4&dib_tag=se&keywords=dell+laptop&nsdOptOutParam=true&qid=1740645858&sprefix=%2Caps%2C200&sr=8-17
"(Refurbished) Dell E5290, 8th Gen, Intel Core i5-8250U, 8GB DDR4 RAM, 500GB HDD+64GB SSD, (Win 11, MS Office, Black, 1.36kg) 12.5"" (31.8cm) HD, Intel UHD Graphics, HD Camera, Thin & Light Laptop","₹15,999",https://m.media-amazon.com/images/I/61Ep6lhBXoL._AC_UY218_.jpg,https://www.amazon.in/Refurbished-Dell-i5-8250U-Office-Graphics/dp/B0DW3L5M3K/ref=sr_1_18?crid=EUT1RL0DC79L&dib=eyJ2IjoiMSJ9.ZDxNcAU3ERfOWt_z5YwhVaD3MvyKCErH4hh7ecM7e_OEhiglkVnidonj5hhyCJlKIKWrC3EMTaYDtqpE3oXyftDrii79Boe-Vd-6Ea1TC5kvjKLcU0az9aYlzja96Syc_g1eDKLsaNhKfmBEt-uXRND3vGAhFuTP9lD8lYhozYOhXg9q473FUj4hwdCLNILOnmztw2nPXfg8vVw-qlOcgb6RW3UgoROIHjPKR0qzN0Y.iHmN0ngeQkEdpbMeYmaYJhySkUnx83Qe3dwW8sgtsK4&dib_tag=se&keywords=dell+laptop&nsdOptOutParam=true&qid=1740645858&sprefix=%2Caps%2C200&sr=8-18
"Dell Inspiron 3530 Laptop, 13th Generation Intel Core i7-1355U Processor, 16GB, 512GB, 15.6"" (39.62cm) FHD 120Hz Display, Backlit KB, Windows 11 + MSO'21, 15 Month McAfee, Silver, Thin & Light-1.62kg","₹68,190",https://m.media-amazon.com/images/I/71kQxWE4ZHL._AC_UY218_.jpg,https://www.amazon.in/Dell-Inspiron-3530-Generation-Light-1-62kg/dp/B0DFCM24S3/ref=sr_1_19?crid=EUT1RL0DC79L&dib=eyJ2IjoiMSJ9.ZDxNcAU3ERfOWt_z5YwhVaD3MvyKCErH4hh7ecM7e_OEhiglkVnidonj5hhyCJlKIKWrC3EMTaYDtqpE3oXyftDrii79Boe-Vd-6Ea1TC5kvjKLcU0az9aYlzja96Syc_g1eDKLsaNhKfmBEt-uXRND3vGAhFuTP9lD8lYhozYOhXg9q473FUj4hwdCLNILOnmztw2nPXfg8vVw-qlOcgb6RW3UgoROIHjPKR0qzN0Y.iHmN0ngeQkEdpbMeYmaYJhySkUnx83Qe3dwW8sgtsK4&dib_tag=se&keywords=dell+laptop&nsdOptOutParam=true&qid=1740645858&sprefix=%2Caps%2C200&sr=8-19
"DELL Latitude 3540 (2024) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" HD Display/Smoky Black/1.8 kg/MS Office 2021","₹30,750",https://m.media-amazon.com/images/I/61yY4ZxfCrL._AC_UY218_.jpg,https://www.amazon.in/DELL-Latitude-3540-Intel-1215U/dp/B0B885ZDBP/ref=sr_1_20?crid=EUT1RL0DC79L&dib=eyJ2IjoiMSJ9.ZDxNcAU3ERfOWt_z5YwhVaD3MvyKCErH4hh7ecM7e_OEhiglkVnidonj5hhyCJlKIKWrC3EMTaYDtqpE3oXyftDrii79Boe-Vd-6Ea1TC5kvjKLcU0az9aYlzja96Syc_g1eDKLsaNhKfmBEt-uXRND3vGAhFuTP9lD8lYhozYOhXg9q473FUj4hwdCLNILOnmztw2nPXfg8vVw-qlOcgb6RW3UgoROIHjPKR0qzN0Y.iHmN0ngeQkEdpbMeYmaYJhySkUnx83Qe3dwW8sgtsK4&dib_tag=se&keywords=dell+laptop&nsdOptOutParam=true&qid=1740645858&sprefix=%2Caps%2C200&sr=8-20
